avg_vol_3month,c_level,company_name,e_score,ebitda,employees,enterprise_value,fifty_day_moving_avg,forward_pe,g_score,held_by_insiders,held_by_institutions,hq,industry,market_cap,peg_ratio,profit_margin,return_on_assets,return_on_equity,revenue,s_score,sector,ticker_name,tot_cash,tot_debt,tot_esg_score,trailing_pe,twohundred_day_moving_avg
384.71k,,"AXT, Inc.",,1.25M,988,199.42M,4.8318,84.03,,6.17%,60.69%,"4281 Technology Drive Fremont, CA 94538",Semiconductor Equipment & Materials,215.67M, ,-3.41%,-0.98%,-0.58%,81.11M,,Technology,AXTI,31.76M,8.54M,,44.50,4.2701
73.65k,,"Ayala Pharmaceuticals, Inc.",,-20.37M,31,152.88M,11.65, ,,N/A,N/A,Oppenheimer 4 Rehovot 7670104,Biotechnology,162.94M, ,0.00%,N/A,N/A,3.07M,,Healthcare,AYLA,10.05M,N/A,, ,12.98
6.91M,,"Ayro, Inc.",,-8.29M,15, ,3.8026, ,,N/A,N/A,900 East Old Settlers Boulevard Suite 100,Auto Manufacturers,, ,0.00%,N/A,N/A,953.02k,,Consumer Cyclical,AYRO,68.94k,3.09M,, ,"1,540.0042"
12.15M,,"Aytu BioScience, Inc.",,-14.54M,61,113.46M,1.4338,10.85,,6.24%,12.01%,373 Inverness Parkway Suite 206,Biotechnology,170.07M, ,-172.62%,-12.09%,-49.16%,14.49M,,Healthcare,AYTU,62.26M,4.71M,,0.07,1.2664
274.39k,,"AzurRx BioPharma, Inc.",,-12.49M,10,34.12M,0.9301, ,,17.79%,5.11%,Downstate Biotechnology Incubator Suite 304 760 Parkside Avenue,Biotechnology,32.43M, ,0.00%,-95.30%,-548.38%,N/A,,Healthcare,AZRX,1.63M,3.32M,, ,0.8454
27.71k,,B Communications Ltd,,N/A,"10,212",3.33B,2.2615, ,,7.21%,2.12%,144 Menachem Begin Road Tel Aviv 6492102,Telecom Services,238.42M, ,-9.45%,5.53%,-211.18%,N/A,,Communication Services,BCOM,N/A,N/A,, ,1.5093
119.19k,,"B. Riley Financial, Inc.",,N/A,982,1.45B,21.96, ,,41.63%,48.13%,21255 Burbank Boulevard Suite 400,Financial Conglomerates,585.51M, ,-5.96%,-1.25%,-9.59%,420.88M,,Financial Services,RILY,1.09B,1.66B,,7.92,21.33
6.42k,,"B. Riley Financial, Inc.",,N/A,982, ,22.11, ,,0.00%,0.00%,21255 Burbank Boulevard Suite 400,Financial Conglomerates,, ,-5.96%,-1.25%,-9.59%,420.88M,,Financial Services,RILYP,1.09B,1.66B,, ,21.73
40.39k,,B.O.S. Better Online Solutions Ltd.,,857k,98,15.52M,2.8115, ,,5.21%,4.42%,Drive-In Center Building Industrial Zone 20 Freiman Street PO Box 198,Communication Equipment,12.31M, ,-3.03%,1.28%,-8.05%,33.52M,,Technology,BOSC,1.06M,4.28M,,8.85,2.1159
4.34M,3,"Baidu, Inc.",2.6,N/A,"37,779",33.02B,122.87,20.20,9.6,0.18%,70.92%,"Baidu Campus No 10, Shangdi 10th Street Haidian District",Internet Content & Information,43.16B,8.57,2.29%,1.40%,-2.09%,N/A,13.8,Communication Services,BIDU,N/A,N/A,26,132.68,115.11
168.8k,,Balchem Corporation,,152.53M,"1,400",3.39B,94.71,38.91,,0.76%,88.63%,"52 Sunrise Park Road New Hampton, NY 10958",Specialty Chemicals,3.20B,10.60,12.20%,6.16%,10.92%,661.11M,,Basic Materials,BCPC,73.96M,260.18M,,39.92,97.54
3.09M,,Ballard Power Systems Inc.,,-24.59M,703,3.83B,16.28, ,,28.54%,7.73%,"9000 Glenlyon Parkway Burnaby, BC V5J 5J8",Specialty Industrial Machinery,3.99B, ,-35.44%,-5.22%,-14.50%,114.34M,,Industrials,BLDP,181.62M,17.62M,, ,11.44
122.33k,,BancFirst Corporation,,N/A,"1,948", ,39.03,13.85,,58.63%,42.60%,"101 North Broadway Oklahoma City, OK 73102",Banks—Regional,1.30B, ,28.57%,N/A,N/A,392.8M,,Financial Services,BANF,1.55B,33.25M,,11.80,43.07
1.86k,,"Bancorp 34, Inc.",,N/A,54, ,11.60, ,,12.25%,15.85%,500 East 10th Street Suite 100,Banks—Regional,36.21M, ,6.21%,0.47%,4.01%,15.26M,,Financial Services,BCTF,8.42M,51.24M,,18.50,12.28
461.12k,,Bandwidth Inc.,,-6.05M,772,3.08B,127.78,3.33k,,5.52%,98.28%,900 Main Campus Drive Suite 500,Software—Infrastructure,3.28B, ,-0.22%,-1.87%,-0.19%,247.79M,,Technology,BAND,491.98M,291.84M,,617.30,91.15
16.78k,,Bank First Corporation,,N/A,307, ,62.66, ,,12.55%,25.83%,"402 North 8th Street Manitowoc, WI 54220",Banks—Regional,491.01M, ,33.61%,N/A,N/A,88.3M,,Financial Services,BFC,54.15M,104.85M,,16.32,59.51
43.44k,,Bank of Commerce Holdings,,N/A,214, ,7.30,10.89,,6.14%,53.98%,555 Capitol Mall Suite 1255,Banks—Regional,128.22M, ,25.73%,0.87%,8.16%,53.53M,,Financial Services,BOCH,155.76M,30.29M,,10.21,8.45
41.65k,,Bank of Marin Bancorp,,N/A,295, ,31.98,16.61,,13.13%,45.52%,504 Redwood Boulevard Suite 100,Banks—Regional,444.72M, ,32.88%,1.17%,9.76%,100.85M,,Financial Services,BMRC,156.27M,29.25M,,13.52,34.78
5.41k,,Bank of South Carolina Corporation,,N/A,75, ,16.53, ,,33.68%,6.58%,256 Meeting Street PO Box 538,Banks—Regional,89.60M, ,35.57%,1.54%,14.34%,20.1M,,Financial Services,BKSC,107.16M,13.09M,,12.66,16.71
4k,,"Bank of the James Financial Group, Inc.",,N/A,155, ,9.67, ,,11.01%,33.76%,"828 Main Street Lynchburg, VA 24504",Banks—Regional,43.18M, ,15.14%,0.63%,7.78%,31.76M,,Financial Services,BOTJ,90.8M,7.28M,,8.09,11.29
1.31M,,Bank OZK,,N/A,"2,774", ,23.80,10.56,,6.20%,87.63%,"17901 Chenal Parkway Little Rock, AR 72223",Banks—Regional,3.00B, ,35.11%,1.08%,6.58%,759.96M,,Financial Services,OZK,1.65B,1.26B,,9.18,23.30
20.27k,,Bank7 Corp.,,N/A,78, ,10.38, ,,69.48%,36.65%,"1039 NW 63rd Street Oklahoma City, OK 73116",Banks—Regional,87.19M, ,18.53%,0.93%,8.53%,44.04M,,Financial Services,BSVN,178.73M,N/A,,11.52,11.87
32.3k,,BankFinancial Corporation,,N/A,226, ,7.94,25.06,,11.04%,68.89%,"60 North Frontage Road Burr Ridge, IL 60527",Banks—Regional,113.12M, ,20.06%,0.70%,6.04%,52.53M,,Financial Services,BFIN,223.17M,5.74M,,10.90,9.33
27.24k,,"Bankwell Financial Group, Inc.",,N/A,154, ,15.55,11.31,,22.27%,55.12%,"220 Elm Street New Canaan, CT 06840",Banks—Regional,124.68M, ,26.67%,0.73%,8.35%,54.35M,,Financial Services,BWFG,215.71M,184.05M,,8.66,19.18
234.31k,,Banner Corporation,,N/A,"2,100", ,36.93,14.27,,2.28%,87.43%,"10 South First Avenue Walla Walla, WA 99362",Banks—Regional,1.32B, ,22.51%,0.87%,7.23%,504.89M,,Financial Services,BANR,443.21M,523.84M,,10.15,40.28
1.34M,,Baozun Inc.,,N/A,"5,979",2.55B,39.17,27.86,,1.08%,82.72%,Building B No. 1268 Wanrong Road Jingan District,Internet Retail,2.40B, ,3.32%,4.66%,10.27%,N/A,,Consumer Cyclical,BZUN,N/A,N/A,,63.82,32.61
59.7k,,"Barrett Business Services, Inc.",,53.12M,"127,085",342.80M,52.23,16.89,,4.58%,82.72%,8100 NE Parkway Drive Suite 200,Staffing & Employment Services,406.02M,1.41,5.00%,3.67%,33.57%,943.2M,,Industrials,BBSI,93.64M,30.43M,,8.79,56.49
16.92M,4,Barrick Gold Corporation,17.2,4.91B,,52.42B,26.16,31.65,5.0,1.46%,70.71%,"Brookfield Place, TD Canada Trust Tower Suite 3700 161 Bay Street PO Box 212",Gold,50.57B, ,41.16%,5.12%,20.95%,10.34B,12.7,Basic Materials,GOLD,3.33B,5.18B,35,11.79,22.66
130.12k,,"Bassett Furniture Industries, Incorporated",,4.83M,"2,555",206.10M,7.52,9.81,,6.74%,67.16%,"3525 Fairystone Park Highway Bassett, VA 24055","Furnishings, Fixtures & Appliances",80.16M,0.61,-5.54%,-1.72%,-13.04%,398.98M,,Consumer Cyclical,BSET,29.11M,156.03M,,31.06,8.35
41.91k,,BayCom Corp,,N/A,320, ,12.65,7.66,,5.35%,64.79%,500 Ygnacio Valley Road Suite 200,Banks—Regional,138.17M, ,20.34%,0.81%,6.61%,79.09M,,Financial Services,BCML,203.72M,38.41M,,9.31,15.46
61.18k,,"BCB Bancorp, Inc.",,N/A,365, ,8.99,9.88,,12.99%,38.07%,"104-110 Avenue C Bayonne, NJ 07002",Banks—Regional,149.86M, ,22.02%,0.64%,7.92%,82.21M,,Financial Services,BCBP,595.92M,313.91M,,8.68,10.56
649.83k,,"Beasley Broadcast Group, Inc.",,N/A,846,341.31M,2.3406, ,,N/A,N/A,3033 Riviera Drive Suite 200,Broadcasting,57.71M, ,N/A,N/A,N/A,N/A,,Communication Services,BBGI,N/A,N/A,,17.91,2.6785
2.33k,,Bel Fuse Inc.,,16.31M,"6,935",221.33M,10.28,18.42,,24.49%,51.43%,"206 Van Vorst Street Jersey City, NJ 07302",Electronic Components,136.96M, ,-2.90%,-0.03%,-8.05%,471M,,Technology,BELFA,68.43M,152.81M,,135.55,10.45
46.85k,,Bel Fuse Inc.,,16.31M,"6,935",221.33M,10.31,23.31,,3.08%,77.70%,"206 Van Vorst Street Jersey City, NJ 07302",Electronic Components,136.96M, ,-2.90%,-0.03%,-8.05%,471M,,Technology,BELFB,68.43M,152.81M,,171.53,11.41
270.37k,,"Bellerophon Therapeutics, Inc.",,N/A,18,118.93M,13.10, ,,N/A,N/A,184 Liberty Corner Road Suite 302,Biotechnology,125.37M, ,N/A,N/A,N/A,N/A,,Healthcare,BLPH,N/A,N/A,, ,10.88
3.8M,,BELLUS Health Inc.,,N/A,17,77.42M,7.0182, ,,27.73%,54.21%,"275 Armand-Frappier Boulevard Laval, QC H7V 4A7",Biotechnology,155.33M, ,0.00%,-22.03%,-38.21%,21.69k,,Healthcare,BLU,78.06M,147k,, ,8.8709
557.9k,,"Benefitfocus, Inc.",,-11.84M,"1,560",533.03M,11.25, ,,11.20%,81.42%,"100 Benefitfocus Way Charleston, SC 29492",Software—Application,355.74M, ,-14.46%,-3.95%,N/A,293.54M,,Technology,BNFT,114.71M,292.21M,, ,12.55
31.53k,,Benitec Biopharma Inc.,,N/A,,2.42B,7.71, ,,0.48%,10.10%,"3940 Trust Way Hayward, CA 94545",Biotechnology,2.44B, ,0.00%,-21.76%,-38.83%,N/A,,Healthcare,BNTC,N/A,N/A,,66.91,7.42
759.33k,,"Benefytt Technologies, Inc.",,44.77M,342,646.25M,22.80,8.64,,13.12%,97.62%,3450 Buschwood Park Drive Suite 200,Healthcare Plans,441.91M,0.29,-4.37%,3.81%,-16.32%,366.04M,,Healthcare,BFYT,5.05M,209.39M,,8.74,22.22
1.08M,,"Berkeley Lights, Inc.",,-16.39M,210,3.56B,59.94, ,,N/A,N/A,5858 Horton Street Suite 320,Biotechnology,3.61B, ,-38.94%,N/A,N/A,57.83M,,Healthcare,BLI,70.31M,28.2M,, ,59.94
516.1k,,Berry Corporation,,460.37M,355,811.23M,4.91,5.16,,0.92%,101.93%,16000 North Dallas Parkway Suite 500,Oil & Gas E&P,407.57M, ,-6.45%,11.64%,-4.21%,583.66M,,Energy,BRY,1k,403.66M,,11.08,4.82
1.12k,,"Betterware de Mexico, S.A.P.I. de C.V.",,N/A,654,284.20M,8.95, ,,0.57%,9.69%,Luis Enrique Williams 549 Colonia Belenes Norte,Specialty Retail,275.61M, ,15.14%,N/A,167.32%,N/A,,Consumer Cyclical,BWMX,N/A,N/A,,12.36,8.86
298.01k,,"Beyond Air, Inc.",,-17.98M,23,96.03M,6.77, ,,21.25%,12.29%,825 East Gate Boulevard Suite 320,Medical Devices,110.99M, ,0.00%,-61.52%,-180.33%,1.39M,,Healthcare,XAIR,19.83M,4.88M,, ,7.07
8.95M,,"Beyond Meat, Inc.",,22.25M,472,7.79B,142.03,625.00,,18.38%,31.22%,"119 Standard Street El Segundo, CA 90245",Packaged Foods,8.00B,7.11,-1.12%,2.73%,-1.71%,354.76M,,Consumer Defensive,BYND,246.41M,43.46M,, ,111.90
140.31k,,BeyondSpring Inc.,,-48.9M,61,363.86M,15.37,65.79,,68.43%,7.33%,28 Liberty Street 39th Floor,Biotechnology,384.79M, ,0.00%,-148.04%,"-10,243.33%",N/A,,Healthcare,BYSI,24.92M,3.99M,, ,15.18
4.56M,,"BGC Partners, Inc.",,N/A,"5,200", ,2.8159, ,,8.19%,59.48%,"499 Park Avenue New York, NY 10022",Capital Markets,993.95M, ,0.39%,0.35%,2.29%,2.1B,,Financial Services,BGCP,714.89M,1.56B,,139.00,3.6279
47.85k,,Bicycle Therapeutics plc,,-33.6M,78,218.54M,16.87, ,,35.10%,33.10%,Babraham Research Campus Building 900,Biotechnology,326.48M, ,0.00%,-20.92%,-54.25%,8.55M,,Healthcare,BCYC,109.64M,1.69M,, ,14.57
1.55M,,Big 5 Sporting Goods Corporation,,21.57M,"2,500",459.42M,2.4482, ,,7.74%,43.33%,"2525 East El Segundo Boulevard El Segundo, CA 90245",Specialty Retail,87.54M, ,0.22%,0.46%,1.24%,968.95M,,Consumer Cyclical,BGFV,44.2M,416.08M,,40.10,2.1930
1.71k,,Big Rock Partners Acquisition Corp.,,N/A,,31.16M,10.88, ,,71.04%,86.47%,2645 North Federal Highway Suite 230,Shell Companies,29.06M, ,0.00%,-1.07%,11.25%,N/A,,Financial Services,BRPA,80.77k,2.18M,,535.00,10.82
42,,Big Rock Partners Acquisition Corp.,,N/A,, ,13.27, ,,0.00%,3.35%,2645 North Federal Highway Suite 230,Shell Companies,, ,0.00%,-1.07%,11.25%,N/A,,Financial Services,BRPAU,80.77k,2.18M,, ,11.52
6.37M,,Bilibili Inc.,,N/A,"4,791",14.03B,42.58, ,,22.40%,37.72%,Building 3 Guozheng Center No. 485 Zhengli Road Yangpu District,Electronic Gaming & Multimedia,14.64B, ,-21.22%,-8.19%,-23.09%,N/A,,Communication Services,BILI,N/A,N/A,, ,30.49
22.68k,,"Bioanalytical Systems, Inc.",,2.18M,311,89.10M,5.04, ,,34.70%,9.40%,"2701 Kent Avenue West Lafayette, IN 47906",Diagnostics & Research,55.63M, ,-3.94%,-0.70%,-21.27%,54.58M,,Healthcare,BASI,198k,33.64M,, ,4.68
188.65k,,"BioCardia, Inc.",,-15.03M,20,28.75M,2.6435, ,,76.90%,3.06%,125 Shoreway Road Suite B,Biotechnology,30.32M, ,0.00%,-198.29%,N/A,532k,,Healthcare,BCDA,2.59M,1.02M,, ,3.7025
25.65M,,"Biocept, Inc.",,-22.43M,88,75.27M,0.6912, ,,0.03%,7.99%,"5810 Nancy Ridge Drive San Diego, CA 92121",Diagnostics & Research,94.46M, ,0.00%,-56.53%,-150.02%,5.95M,,Healthcare,BIOC,21.49M,2.31M,, ,0.4493
9.51M,,"BioCryst Pharmaceuticals, Inc.",,-110.34M,140,778.33M,4.7124, ,,0.95%,90.20%,4505 Emperor Boulevard Suite 200,Biotechnology,806.15M, ,-241.66%,-49.79%,-882.75%,47.77M,,Healthcare,BCRX,113.06M,85.24M,, ,3.5870
924.86k,,"BioDelivery Sciences International, Inc.",,20.25M,178,412.72M,4.4438,19.27,,3.08%,79.73%,4131 ParkLake Avenue Suite 225,Biotechnology,424.70M, ,-5.01%,5.10%,-12.50%,129.9M,,Healthcare,BDSI,70.61M,59.49M,, ,4.6220
2.08k,,Biofrontera AG,,N/A,160,172.43M,6.53, ,,0.00%,0.09%,Hemmelrather Weg 201 Leverkusen 51377,Biotechnology,155.60M, ,-33.04%,-33.41%,-115.17%,N/A,,Healthcare,BFRA,N/A,N/A,,196.44,7.95
1.58M,2,Biogen Inc.,0.0,8.05B,"7,400",47.60B,275.71,8.67,7.9,0.66%,93.15%,"225 Binney Street Cambridge, MA 02142",Drug Manufacturers—General,44.09B,6.24,40.91%,18.31%,49.38%,14.49B,15.5,Healthcare,BIIB,4.33B,7.84B,23,8.18,299.20
2.2M,,"BioHiTech Global, Inc.",,-5.84M,39,79.64M,1.7838, ,,40.00%,6.72%,80 Red Schoolhouse Road Suite 101,Pollution & Treatment Controls,35.92M, ,-170.31%,-9.00%,-141.70%,4.84M,,Industrials,BHTG,1.93M,40.49M,, ,1.6005
7.3M,,"BIOLASE, Inc.",,-15.9M,150,37.72M,0.4812, ,,27.02%,37.78%,"4 Cromwell Irvine, CA 92618",Medical Devices,25.53M, ,-58.78%,-35.99%,-623.51%,32.26M,,Healthcare,BIOL,1.51M,13.7M,, ,0.5256
287.4k,,"BioLife Solutions, Inc.",,3.81M,,651.63M,17.64,1.00k,,27.02%,58.07%,3303 Monte Villa Parkway Suite 310,Medical Instruments & Supplies,656.87M,102.85,117.92%,0.88%,71.04%,33.76M,,Healthcare,BLFS,6.4M,1.17M,,22.12,14.36
618.78k,,BioLineRx Ltd.,,-28.99M,42,28.73M,1.7824, ,,0.00%,23.39%,Modi'in Technology Park 2 HaMa'ayan Street,Biotechnology,40.23M, ,0.00%,-31.99%,-69.72%,N/A,,Healthcare,BLRX,21.18M,9.69M,, ,1.8264
1.56M,1,BioMarin Pharmaceutical Inc.,0.1,91.25M,"3,001",22.52B,120.84,90.91,7.5,0.49%,99.30%,"770 Lindaro Street San Rafael, CA 94901",Biotechnology,22.51B,1.36,6.32%,-0.24%,3.69%,1.81B,18.9,Healthcare,BMRN,858.4M,913.45M,27,197.60,97.29
870.05k,,"Biomerica, Inc.",,-2.55M,54,111.25M,7.83, ,,18.83%,7.42%,"17571 Von Karman Avenue Irvine, CA 92614",Diagnostics & Research,111.77M, ,-51.38%,-25.22%,-61.09%,5.13M,,Healthcare,BMRA,2.39M,1.83M,, ,5.97
20.43M,,"Bionano Genomics, Inc.",,-28.3M,97,83.64M,0.5497, ,,10.41%,11.26%,9540 Towne Centre Drive Suite 100,Diagnostics & Research,74.81M, ,0.00%,-75.67%,"-3,919.05%",9.41M,,Healthcare,BNGO,8.14M,16.97M,, ,0.6521
129.25k,,BiondVax Pharmaceuticals Ltd.,,N/A,25,470.94M,30.65, ,,41.28%,4.61%,Jerusalem BioPark 2nd floor Hadassah Ein Kerem Campus,Biotechnology,469.00M, ,0.00%,N/A,N/A,N/A,,Healthcare,BVXV,N/A,N/A,, ,15.96
2.66M,,BioNTech SE,,N/A,"1,400",19.56B,65.81, ,,1.26%,4.15%,An der Goldgrube 12 Mainz 55131,Biotechnology,20.00B, ,-174.21%,-16.93%,-53.64%,N/A,,Healthcare,BNTX,N/A,N/A,, ,48.66
85.14k,,"Bio-Path Holdings, Inc.",,-10.43M,9,2.44M,5.18, ,,1.26%,11.43%,4710 Bellaire Boulevard Suite 210,Biotechnology,19.94M, ,0.00%,-31.95%,-54.69%,N/A,,Healthcare,BPTH,17.89M,394k,, ,5.44
898.61k,,"BioSig Technologies, Inc.",,-41.46M,33,207.54M,8.53, ,,24.57%,14.02%,54 Wilton Road 2nd Floor,Medical Devices,222.21M, ,0.00%,-174.53%,-309.57%,N/A,,Healthcare,BSGM,15.5M,624.99k,, ,6.74
37.18k,,BioSpecifics Technologies Corp.,,29.75M,7,361.60M,62.85,30.96,,26.15%,66.74%,Delaware Corporate Center II Suite 200 2 Righter Parkway,Biotechnology,465.60M, ,61.80%,15.48%,21.21%,39.73M,,Healthcare,BSTC,104.22M,224.35k,,18.98,58.34
261.53k,,Bio-Techne Corporation,,210.09M,"2,200",11.05B,263.83,53.76,,0.49%,94.32%,"614 McKinley Place NE Minneapolis, MN 55413",Biotechnology,10.82B, ,24.77%,5.22%,15.34%,754.52M,,Healthcare,TECH,261.09M,517.61M,,59.57,226.51
323.6k,,"BioTelemetry, Inc.",,107.07M,"1,700",1.53B,44.33,26.53,,2.81%,95.58%,1000 Cedar Hollow Road Suite 102,Diagnostics & Research,1.40B, ,5.94%,5.68%,7.12%,425.52M,,Healthcare,BEAT,106.84M,263M,,59.56,44.96
3.18k,,BioVie Inc.,,-2.54M,2,62.86M,13.03, ,,86.32%,0.00%,2120 Colorado Avenue Suite 230,Biotechnology,62.39M, ,0.00%,-65.70%,826.55%,N/A,,Healthcare,BIVI,3.71k,472.87k,, ,6.00
507.8k,,"BioXcel Therapeutics, Inc.",,-41.01M,27,1.17B,53.77, ,,48.51%,28.52%,555 Long Wharf Drive 12th Floor,Biotechnology,1.24B, ,0.00%,-40.81%,-77.51%,N/A,,Healthcare,BTAI,80.08M,1.15M,, ,34.97
748.3k,,"BJ's Restaurants, Inc.",,50.12M,"22,725",1.05B,20.51,14.64,,1.86%,103.94%,7755 Center Avenue Suite 300,Restaurants,418.29M,0.98,-1.58%,N/A,N/A,952.43M,,Consumer Cyclical,BJRI,80.31M,712.19M,,13.62,24.63
129.73k,,"Black Diamond Therapeutics, Inc.",,-38.33M,37,776.94M,36.50, ,,3.91%,71.67%,139 Main Street Suite 301,Biotechnology,1.13B, ,0.00%,N/A,-21.76%,N/A,,Healthcare,BDTX,357.19M,435k,, ,34.07
423.87k,,"Blackbaud, Inc.",,105.84M,"3,611",3.39B,57.47,25.38,,1.63%,106.33%,"65 Fairchild Street Charleston, SC 29492",Software—Application,2.77B,2.36,1.95%,1.52%,4.74%,908.21M,,Technology,BLKB,24.97M,647.81M,,151.03,61.51
542.41k,,"BlackLine, Inc.",,-10.79M,"1,109",4.66B,82.67,256.41,,13.02%,96.80%,21300 Victory Boulevard 12th Floor,Software—Infrastructure,4.87B,8.76,-11.90%,-2.16%,-9.37%,307.44M,,Technology,BL,613.97M,404.16M,, ,65.84
472.71k,,BlackRock Capital Investment Corporation,,N/A,, ,2.6938, ,,1.35%,37.70%,40 East 52nd Street 21st Floor,Asset Management,164.90M, ,-108.45%,5.00%,-19.65%,77.5M,,Financial Services,BKCC,2.29M,308.02M,,50.25,3.3294
362.26k,,BlackRock TCP Capital Corp.,,N/A,, ,9.39,6.84,,0.71%,33.65%,2951 28th Street Suite 1000,Asset Management,537.23M, ,-33.37%,5.27%,-8.33%,188.88M,,Financial Services,TCPC,8.57M,965.46M,,14.52,10.23
4.7M,,Blink Charging Co.,,-10.6M,63,216.39M,4.64, ,,27.87%,5.71%,407 Lincoln Road Suite 704,Specialty Retail,219.45M, ,0.00%,-47.50%,-111.69%,3.48M,,Consumer Cyclical,BLNK,3.3M,239.58k,,2.21,2.63
459.63k,,"Blucora, Inc.",,81.05M,690,862.13M,12.02,6.52,,2.17%,97.95%,6333 State Highway 161 4th Floor,Asset Management,558.88M,0.43,-43.62%,2.40%,-66.09%,755.5M,,Financial Services,BCOR,168.2M,471.45M,,14.49,15.08
144.7k,,Blue Bird Corporation,,66.62M,"2,300",531.50M,13.98,12.99,,2.05%,97.20%,3920 Arkwright Road 2nd Floor,Auto Manufacturers,350.81M, ,2.37%,9.11%,N/A,1.06B,,Consumer Cyclical,BLBD,34.09M,218.17M,,13.96,14.88
1.52M,,Fujian Blue Hat Interactive Entertainment Technology Ltd.,,10.4M,100,44.26M,1.3219, ,,67.29%,0.51%,Building C 7th Floor No. 1010 Anling Road Huli District,Electronic Gaming & Multimedia,48.14M, ,38.07%,12.57%,24.86%,23.83M,,Communication Services,BHAT,10.48M,6.6M,,5.27,1.1730
1.33M,,"bluebird bio, Inc.",,-833M,"1,153",3.05B,64.09, ,,0.62%,109.96%,"60 Binney Street Cambridge, MA 02142",Biotechnology,3.76B, ,0.00%,-28.89%,-57.24%,54.07M,,Healthcare,BLUE,910.68M,200.34M,, ,65.71
1.03M,,BlueCity Holdings Limited,,N/A,488,519.17M,18.93, ,,N/A,N/A,No 22 Pingguo Shequ Block 2 Tower B Room 028 Bai Zi Wan Road Chaoyang District,Internet Content & Information,571.13M, ,-4.16%,N/A,N/A,N/A,,Communication Services,BLCT,N/A,N/A,, ,18.93
165.54k,,"Blueknight Energy Partners, L.P.",,61.82M,270,339.25M,1.4144, ,,9.88%,21.65%,6060 American Plaza Suite 600,Oil & Gas Midstream,57.86M, ,4.05%,7.57%,N/A,356.45M,,Energy,BKEP,671k,282.06M,, ,1.2045
49.96k,,"Blueknight Energy Partners, L.P.",,61.82M,270, ,5.66, ,,0.00%,10.42%,6060 American Plaza Suite 600,Oil & Gas Midstream,, ,4.05%,7.57%,N/A,356.45M,,Energy,BKEPP,671k,282.06M,, ,5.21
4.34M,,"Bloomin' Brands, Inc.",,174.67M,"94,000",3.24B,10.86, ,,1.31%,91.87%,2202 North West Shore Boulevard Suite 500,Restaurants,941.35M, ,-2.51%,N/A,N/A,3.58B,,Consumer Cyclical,BLMN,N/A,N/A,,33.62,13.19
637.78k,,Blueprint Medicines Corporation,,-379.26M,394,3.68B,76.75, ,,1.43%,97.90%,"45 Sidney Street Cambridge, MA 02139",Biotechnology,4.25B, ,0.00%,-32.99%,-72.29%,71.95M,,Healthcare,BPMC,666.76M,94.84M,, ,67.06
418.18k,,"BMC Stock Holdings, Inc.",,241.21M,"10,200",2.11B,25.02,20.08,,0.68%,106.92%,4800 Falls of Neuse Road Suite 400,Building Products & Equipment,1.75B,2.57,3.00%,5.40%,11.84%,3.72B,,Industrials,BMCH,282.82M,641.84M,,15.73,24.06
29.35k,,Bogota Financial Corp.,,N/A,40, ,8.66, ,,56.03%,0.38%,"819 Teaneck Road Teaneck, NJ 07666",Banks—Regional,107.89M, ,6.10%,N/A,0.74%,11.94M,,Financial Services,BSBK,65.71M,99.32M,,152.25,8.95
480.51k,,"Boingo Wireless, Inc.",,73.47M,408,757.99M,13.47,163.93,,4.32%,93.42%,10960 Wilshire Boulevard 23rd Floor,Telecom Services,644.50M, ,-3.80%,-0.15%,-10.64%,257.2M,,Communication Services,WIFI,175.22M,288.71M,, ,12.57
278.49k,2,BOK Financial Corporation,2.2,N/A,"5,107", ,56.08,12.29,13.3,55.63%,43.27%,Bank of Oklahoma Tower Boston Avenue at Second Street,Banks—Regional,4.03B, ,23.61%,0.86%,7.72%,1.61B,15.4,Financial Services,BOKF,3.1B,5.42B,31,10.68,59.09
7.46k,,Bonso Electronics International Inc.,,-767k,231,8.55M,2.6132, ,,77.43%,3.00%,Cheuk Nang Centre 14th Floor Unit 1404 9 Hillwood Road,Scientific & Technical Instruments,12.23M, ,-10.98%,-4.24%,-6.72%,8.77M,,Technology,BNSO,8.02M,3.75M,, ,2.4109
547.56k,2,Booking Holdings Inc.,3.9,5.44B,"27,200",71.19B,"1,675.84",185.19,6.2,0.35%,96.71%,"800 Connecticut Avenue Norwalk, CT 06854",Travel Services,69.40B,38.23,23.43%,15.44%,63.30%,14.52B,9.4,Consumer Cyclical,BKNG,7.19B,9.21B,19,21.75,"1,633.06"
763.97k,,BOQI International Medical Inc.,,-2.92M,110,23.09M,2.4535, ,,77.94%,0.56%,"Building A Room 3601, Harbour View Place No. 2 Wuwu Road Zhongshan District",Pharmaceutical Retailers,21.60M, ,0.00%,-5.95%,-42.69%,584.88k,,Healthcare,BIMI,175.87k,1.67M,, ,2.8682
710.56k,,"Borqs Technologies, Inc.",,-68.06M,564,64.21M,1.3943, ,,35.38%,19.41%,Building B23-A Universal Business Park No. 10 Jiuxianqiao Road Chaoyang District,Software—Application,49.36M, ,-138.55%,-38.64%,-385.78%,56.59M,,Technology,BRQS,8.15M,9.41M,,1.80,1.6665
149.88k,,Boston Omaha Corporation,,3.55M,132,394.41M,15.76, ,,14.18%,85.02%,1411 Harney Street Suite 200,Advertising Agencies,441.69M, ,-50.68%,-1.30%,-6.93%,43.69M,,Communication Services,BOMN,117.94M,70.66M,, ,17.56
